gene,day1r1,day1r2,day1r3,day3r1,day3r2,day3r3,day6r1,day6r2,day6r3,day9r2,day9r3
Cbr-bli-4,12.09356334,11.97053516,12.09994896,11.98173662,11.91059614,11.84471117,11.88052461,11.79200559,11.86618866,12.25359264,12.13712154
Cbr-glb-1,10.14698693,10.19017848,10.20847639,9.864947503,9.821634173,10.115495,10.03651002,10.15202207,9.976682323,9.536986013,9.721224802
Cbr-exp-2,6.999382135,7.216411712,7.27311202,6.782263376,7.057261087,6.56663521,6.016250326,6.209836691,6.180029034,7.348964728,7.615848639
Cbr-fem-2,11.1987508,11.13702182,11.0687606,11.76608339,11.7470855,11.75600478,11.62530981,11.62731999,11.57167201,11.01545306,10.77228153
Cbr-fem-3,9.084032094,9.019535117,8.884888025,9.855940222,9.994812971,9.802519502,9.751498233,9.684491477,10.11517226,8.883715402,8.779593719
CBG14137,13.44374785,13.6633998,13.55718302,12.06730055,12.08091923,12.49124722,12.22537525,12.29015757,12.38791294,13.0787212,13.31533198
CBG14136,13.72504195,14.06663566,13.9473983,12.27878872,12.33208122,12.67746964,12.14313491,12.16296227,12.35958199,13.54557893,13.74456212
Cbr-mai-1,8.035724657,7.862902395,8.064785652,7.300254698,7.057261087,7.706631716,9.188724775,9.168829158,8.636915018,7.188228393,7.045704242
CBG16767,17.45110457,17.34051,17.41718298,18.00551059,17.82369137,18.01561919,17.37973674,17.26644676,17.45528175,15.72530385,15.67595355
CBG00001,9.509131659,9.568356146,9.559948124,9.086158548,9.101216332,8.80649167,9.144658414,9.286632403,9.069616312,8.701926217,8.823341479
CBG00003,6.050067155,6.040528062,6.092763983,6.010664721,6.225327972,6.025045184,6.408606067,6.28675897,5.964421173,6.436628844,6.349887458
Cbr-fbn-1,7.684835116,7.924935391,7.932430506,8.654128651,8.551657,8.656638416,7.555781414,7.462332553,7.88547928,11.41750811,11.11444405
Cbr-upp-1,12.51565696,12.63133736,12.53474091,12.5561801,12.57597861,12.79323091,12.64500709,12.6608636,12.57376182,12.02715384,12.15403202
Cbr-baz-2,9.938706675,9.650233567,9.88593156,10.83268315,10.66022212,10.51170669,10.63622576,10.40522573,10.63655342,10.22593308,9.885454244
CBG00011,7.248773037,7.151018481,6.989125131,7.547152202,7.358132426,6.935745033,6.429496625,6.311386109,6.582575084,7.315564169,7.095148388
CBG00014,6.088625755,5.792023808,5.741873274,4.692116706,4.834296272,4.990503977,4.835038128,4.85230617,5.089082808,6.147097309,6.315464156
Cbr-lin-13,12.18753345,11.94813065,12.12457216,13.09893359,12.75250076,12.67995039,12.50348944,12.25616169,12.4893438,12.11168401,11.83587748
Cbr-egl-45,13.39022864,13.39157542,13.33359161,13.93301649,13.84646879,13.86547984,13.53469251,13.45207349,13.62064615,13.07614756,12.95970359
Cbr-egl-5,5.656624934,5.610800116,5.770893419,5.462599498,5.600016295,5.565475341,5.112391411,4.96396192,4.955387721,5.99074836,6.021537873
Cbr-cyk-7,11.40659431,11.38422277,11.34248115,11.35773989,11.4281788,11.40705018,11.60650441,11.67292197,11.43018744,10.7218904,10.72241729
Cbr-mab-5,6.179968611,5.763875168,6.048666762,5.78876493,5.826217163,5.834000314,5.682824117,5.453390169,5.537185164,5.972035803,6.086260188
Cbr-snu-23,10.95938206,10.98500073,10.98024976,11.47351836,11.53344933,11.44148544,11.41166481,11.53947365,11.34300037,10.37620121,10.16660077
CBG00031,11.97592753,12.21307689,12.08360699,12.2140301,12.39928679,12.33001519,12.10765734,12.08763909,12.30589074,12.03222107,12.05618588
CBG00032,10.88673216,11.00393052,10.84993887,10.97836207,11.10696408,11.06378543,10.93735009,11.02660677,11.09242253,10.60635033,10.51350201
Cbr-mtx-2,9.930294219,9.962133332,9.851364916,9.905671046,9.783972176,9.938381848,9.984171845,10.05837045,9.768538003,9.618812638,9.68852913
Cbr-pcp-1.2,8.971274161,8.824423782,9.033782534,7.556179924,7.192583313,7.823190274,7.060528364,7.054668965,7.1019916,8.484863607,8.586533835
Cbr-pcp-1.1,6.390104907,6.648113422,6.29212427,6.750396215,6.6188738,6.859097168,6.429496625,6.427837236,7.336276263,6.672836436,6.816023146
Cbr-cdh-3,6.490362497,6.147488991,6.712763748,7.140191435,7.108015422,6.391892617,6.585524304,5.87696621,6.293211011,7.921406405,7.791823544
CBG00040,12.96599785,12.82911487,12.92849701,13.49949233,13.34152737,13.32676065,13.21729712,13.06767708,13.31763805,12.75257322,12.47851738
CBG00041,5.154178252,5.150713845,4.88034749,5.180381281,5.923903556,5.74106171,6.203337404,6.099211051,5.699257396,4.893181479,4.950761186
CBG00042,8.260425956,8.446088442,8.284584889,4.94078811,5.111242188,5.301949903,4.348656253,4.85230617,4.875057,7.195616919,7.170751166
Cbr-pqn-18,9.10342213,9.140243648,9.142708917,8.916126654,8.847074557,8.8552933,8.772181927,8.66067098,8.883547307,9.24535356,9.294328101
Cbr-gpc-1,6.281330473,6.620123988,6.851975366,5.753155288,6.097585405,6.049951844,5.558783364,5.804702134,5.865759352,6.548206514,6.874323932
