Geneid	"RNA STAR on data 17, data 15, and data 9: mapped.bam"	Public Name
WBGene00000001	8348	aap-1
WBGene00000002	386	aat-1
WBGene00000003	541	aat-2
WBGene00000004	2013	aat-3
WBGene00000005	191	aat-4
WBGene00000006	296	aat-5
WBGene00000007	217	aat-6
WBGene00000008	22	aat-7
WBGene00000009	49	aat-8
WBGene00000010	5988	aat-9
WBGene00000012	81	abf-1
WBGene00000013	3275	abf-2
WBGene00000014	1	abf-3
WBGene00000015	1	abf-4
WBGene00000016	320	abf-5
WBGene00000017	501	abf-6
WBGene00000018	3374	abl-1
WBGene00000019	87	abt-1
WBGene00000020	1700	abt-2
WBGene00000021	5	abt-3
WBGene00000022	4419	abt-4
WBGene00000023	81	abt-5
WBGene00000024	0	abu-1
WBGene00000025	4	abu-2
WBGene00000026	1	abu-3
WBGene00000027	1	abu-4
WBGene00000028	0	abu-5
WBGene00000029	1	abu-6
WBGene00000030	0	abu-7
WBGene00000031	9	abu-8
WBGene00000032	0	abu-9
WBGene00000033	90	abu-10
WBGene00000034	29	abu-11
WBGene00000035	472	ace-1
WBGene00000036	380	ace-2
WBGene00000037	211	ace-3
WBGene00000038	33	ace-4
WBGene00000039	620	acn-1
WBGene00000040	9816	aco-1
WBGene00000041	60298	aco-2
WBGene00000042	13	acr-2
WBGene00000043	6	acr-3
WBGene00000044	31	acr-5
WBGene00000045	4	acr-6
WBGene00000046	20	acr-7
WBGene00000047	34	acr-8
WBGene00000048	31	acr-9
WBGene00000049	9	acr-10
WBGene00000050	88	acr-11
WBGene00000051	84	acr-12
WBGene00000053	9	acr-14
WBGene00000054	142	acr-15
WBGene00000055	147	acr-16
WBGene00000056	105	acr-17
WBGene00000057	60	acr-18
WBGene00000058	128	acr-19
WBGene00000059	63	acr-20
WBGene00000060	25	acr-21
WBGene00000061	20	lgc-11
WBGene00000062	17	acr-23
WBGene00000063	6079	act-1
WBGene00000064	75158	act-2
WBGene00000065	13796	act-3
WBGene00000066	23069	act-4
WBGene00000067	3378	act-5
WBGene00000068	500	acy-1
WBGene00000069	59	acy-2
WBGene00000070	455	acy-3
WBGene00000071	674	acy-4
WBGene00000072	449	add-1
WBGene00000073	1606	add-2
WBGene00000074	2649	adm-2
WBGene00000075	1993	adm-4
WBGene00000079	8753	adr-1
WBGene00000080	9606	adr-2
WBGene00000081	4565	ads-1
WBGene00000082	66	adt-1
WBGene00000083	835	adt-2
WBGene00000084	336	aex-1
WBGene00000085	41	aex-2
WBGene00000086	680	aex-3
WBGene00000088	415	aex-5
WBGene00000089	194	aex-6
WBGene00000090	10280	age-1
WBGene00000092	2258	ags-3
WBGene00000093	1756	agt-1
WBGene00000094	2674	agt-2
WBGene00000095	1515	aha-1
WBGene00000096	44	ahr-1
WBGene00000097	2680	aip-1
WBGene00000098	19225	air-1
WBGene00000099	7208	air-2
WBGene00000100	6893	ajm-1
WBGene00000101	31220	aka-1
WBGene00000102	20951	akt-1
WBGene00000103	1455	akt-2
WBGene00000105	5564	alg-1
WBGene00000106	10145	alg-2
WBGene00000107	16697	alh-1
WBGene00000108	1	alh-2
WBGene00000109	5575	alh-3
WBGene00000110	11941	alh-4
WBGene00000111	243	alh-5
WBGene00000112	3465	alh-6
WBGene00000113	3145	alh-7
WBGene00000114	63558	alh-8
WBGene00000115	6119	alh-9
WBGene00000116	1041	alh-10
WBGene00000117	3686	alh-11
